skin cutaneous melanoma	RORB	104	9	8.65384615384615	7.48730199673158	9.01549517065671e-06	0.000271525501610367	Enriched
colon adenocarcinoma	CSNK1E	461	15	3.25379609544469	3.88252279159416	3.23470440549353e-05	0.000871667713480363	Enriched
stomach adenocarcinoma	RORA	478	16	3.34728033472803	3.69091852183787	3.17884028308e-05	0.000871667713480363	Enriched
stomach adenocarcinoma	NR1D1	478	13	2.71966527196653	4.32143126387263	4.09475351362968e-05	0.0010482568994892	Enriched
ovarian serous cystadenocarcinoma	PER2	592	0	0	0	5.25002643330489e-05	0.00128000644469148	Depleted
stomach adenocarcinoma	ARNTL	478	15	3.13807531380753	3.69039300674447	5.51079127602188e-05	0.00128251142423782	Enriched
stomach adenocarcinoma	TIMELESS	478	22	4.60251046025105	2.78855527646529	6.20378708022407e-05	0.00138101695003249	Enriched
bladder urothelial carcinoma	TIMELESS	412	20	4.85436893203883	2.93375816276682	6.57586150934279e-05	0.00140285045532646	Enriched
bladder urothelial carcinoma	NR1D2	412	12	2.9126213592233	4.21098474134653	9.1122393398914e-05	0.00184636954342422	Enriched
stomach adenocarcinoma	PER3	478	20	4.18410041841004	2.8618077482703	9.37609533770111e-05	0.00184636954342422	Enriched
colon adenocarcinoma	PER1	461	19	4.12147505422993	2.86013665330515	0.000136482878130463	0.00258811976306657	Enriched
ovarian serous cystadenocarcinoma	NPAS2	592	0	0	0	0.000171161074735873	0.00312980250945595	Depleted
skin cutaneous melanoma	RORC	104	7	6.73076923076923	6.39438230995978	0.000210992055021602	0.00372510110934691	Enriched
thyroid carcinoma	PER2	507	0	0	0	0.000284311545410633	0.00485225037500814	Depleted
ovarian serous cystadenocarcinoma	TIMELESS	592	1	0.168918918918919	0.0859776494361406	0.00036675756146785	0.0058681209834856	Depleted
stomach adenocarcinoma	NR1D2	478	12	2.51046025104602	3.59112943307241	0.000363038838230201	0.0058681209834856	Enriched
thyroid carcinoma	PER1	507	0	0	0	0.000397838916440353	0.00616492157755768	Depleted
thyroid carcinoma	PER3	507	0	0	0	0.00040938932350969	0.00616492157755768	Depleted
ovarian serous cystadenocarcinoma	RORB	592	0	0	0	0.000584311468794551	0.00847850847633045	Depleted
breast invasive carcinoma	CRY1	1101	1	0.0908265213442325	0.0889858007860329	0.000596145127241985	0.00847850847633045	Depleted
kidney clear cell carcinoma	TIMELESS	536	1	0.186567164179104	0.0955230422100598	0.000763363122438228	0.0101384570169229	Depleted
breast invasive carcinoma	TIMELESS	1101	7	0.635785649409628	0.318409272463211	0.00077226528058592	0.0101384570169229	Depleted
stomach adenocarcinoma	PER2	478	19	3.97489539748954	2.5269469580048	0.000767356061371882	0.0101384570169229	Enriched
breast invasive carcinoma	RORA	1101	2	0.181653042688465	0.158137433690811	0.000836466165733201	0.010706766921385	Depleted
ovarian serous cystadenocarcinoma	PER1	592	1	0.168918918918919	0.0990355600964008	0.00109061821673927	0.0136194274870855	Depleted
colon adenocarcinoma	RORB	461	15	3.25379609544469	2.69207010365806	0.00111754857036541	0.0136234492387402	Enriched
breast invasive carcinoma	RORB	1101	4	0.36330608537693	0.250863914609305	0.00121490176908945	0.0141370387675863	Depleted
colon adenocarcinoma	CSNK1D	461	11	2.38611713665944	3.27717389541535	0.00120437328018981	0.0141370387675863	Enriched
ovarian serous cystadenocarcinoma	CLOCK	592	0	0	0	0.00135506682650362	0.0154176492259967	Depleted
breast invasive carcinoma	PER3	1101	6	0.544959128065395	0.307861352819789	0.0014258624129575	0.0158704685963965	Depleted
stomach adenocarcinoma	RORB	478	15	3.13807531380753	2.58869539116109	0.00160153461509406	0.0174465047431523	Enriched
thyroid carcinoma	TIMELESS	507	1	0.19723865877712	0.101296558403549	0.00172934466891085	0.0183062359872885	Depleted
breast invasive carcinoma	ARNTL	1101	2	0.181653042688465	0.169223364822278	0.00175196399097097	0.0183062359872885	Depleted
stomach adenocarcinoma	CSNK1E	478	12	2.51046025104602	2.86791040851632	0.00208603735591237	0.0213610225245426	Enriched
colon adenocarcinoma	TIMELESS	461	18	3.90455531453362	2.29830819982754	0.00215393430757467	0.0216238110878085	Enriched
brain lower grade glioma	PER2	516	1	0.193798449612403	0.106161328570418	0.00248373762416874	0.0244552627610461	Depleted
ovarian serous cystadenocarcinoma	RORA	592	0	0	0	0.00287435563933255	0.0277673601384578	Depleted
thyroid carcinoma	CLOCK	507	0	0	0	0.0029619061590479	0.0280832583968986	Depleted
brain lower grade glioma	PER3	516	1	0.193798449612403	0.112487679539369	0.00351468226068374	0.032718496681274	Depleted
breast invasive carcinoma	NPAS2	1101	6	0.544959128065395	0.334484082179441	0.00360466036271751	0.0329568947448458	Depleted
colon adenocarcinoma	PER3	461	16	3.470715835141	2.29910780094022	0.00382006671581184	0.0343135817279941	Enriched
glioblastoma multiforme	CSNK1E	594	0	0	0	0.0042993400466179	0.0367368927430326	Depleted
ovarian serous cystadenocarcinoma	ARNTL	592	0	0	0	0.00430410053697262	0.0367368927430326	Depleted
ovarian serous cystadenocarcinoma	CSNK1E	592	0	0	0	0.00430510461832413	0.0367368927430326	Depleted
prostate adenocarcinoma	RORC	498	0	0	0	0.00447828324205325	0.0375882134414962	Depleted
thyroid carcinoma	RORC	507	0	0	0	0.00458112444412599	0.0378312212160082	Depleted
skin cutaneous melanoma	NPAS2	104	6	5.76923076923077	4.1345046157925	0.00471280641260587	0.0383009029087969	Enriched
prostate adenocarcinoma	PER3	498	1	0.200803212851406	0.116774386746787	0.00527330628794222	0.0420430046758592	Depleted
bladder urothelial carcinoma	NPAS2	412	14	3.39805825242718	2.43432741288037	0.00533749082798994	0.0420430046758592	Enriched
ovarian serous cystadenocarcinoma	PER3	592	2	0.337837837837838	0.196047691013425	0.00642963608387203	0.04987838901428	Depleted
