Gene1	Gene2	Observed_CoMutation	FixedMargin_Expected	Null_SD	Observed_Expected_Ratio	Permutation_Z	Permutation_P	FDR	Direction
ARNTL	NPAS2	18	17.9133	1.0306742157121684	1.0048399792333071	0.08411969434987084	0.6898310168983102	0.9057555782883251	Enriched
NR1D2	TIMELESS	11	10.8162	0.840171499644496	1.016993028975056	0.21876485940997942	0.6933306669333067	0.9057555782883251	Enriched
NR1D2	PER2	15	14.7639	0.7776999882520076	1.0159917095076505	0.3035875061933189	0.6937306269373062	0.9057555782883251	Enriched
CLOCK	PER1	19	18.915	1.054365291830522	1.0044937879989426	0.08061722124068524	0.6944305569443056	0.9057555782883251	Enriched
CRY1	PER3	16	15.8371	0.8813859961035306	1.0102859740735362	0.1848225416788511	0.6974302569743026	0.9057555782883251	Enriched
CRY2	PER2	18	17.8581	0.9170869614433982	1.0079459740957883	0.15472905620276625	0.6979302069793021	0.9057555782883251	Enriched
ARNTL	PER2	19	19.0013	1.0811175660024916	0.9999315836284886	-0.0012024594187358961	0.7035296470352965	0.9057555782883251	Depleted
ARNTL	CRY1	13	12.8714	0.8918192497123033	1.009991143154591	0.14419962345675566	0.7068293170682932	0.9057555782883251	Enriched
NR1D1	RORA	10	9.9059	0.9181119119956426	1.0094993892528694	0.10249295186189218	0.7076292370762923	0.9057555782883251	Enriched
CSNK1D	NR1D1	9	8.8438	0.8290176638822015	1.0176620909563763	0.1884157682099705	0.708029197080292	0.9057555782883251	Enriched
CSNK1D	RORB	12	11.8541	0.8658453434741574	1.0123079778304551	0.1685058435662233	0.708029197080292	0.9057555782883251	Enriched
CRY2	CSNK1D	11	10.8381	0.8386648471663679	1.0149380426458512	0.1930449339173063	0.7099290070992901	0.9057555782883251	Enriched
RORA	TIMELESS	15	14.9574	0.9881714872879246	1.0028480885715432	0.043109926311391114	0.712028797120288	0.9057555782883251	Enriched
ARNTL	CRY2	13	12.9034	0.9090385443464488	1.0074863989336145	0.1062661210581019	0.7124287571242875	0.9057555782883251	Enriched
PER1	RORB	17	16.9235	0.9437885481835263	1.0045203415369162	0.08105629184337526	0.7133286671332867	0.9057555782883251	Enriched
CLOCK	NPAS2	18	18.0027	1.0475697829953974	0.9998500224966255	-0.0025773939300544673	0.7139286071392861	0.9057555782883251	Depleted
CRY2	RORB	13	12.8663	0.8686194563650975	1.010391487840327	0.1539224098887817	0.7147285271472853	0.9057555782883251	Enriched
PER2	RORA	19	18.9913	1.0309852584107622	1.000458104500482	0.008438529968325514	0.7161283871612839	0.9057555782883251	Enriched
NR1D1	TIMELESS	11	10.9152	0.9237392973284956	1.0077689827030196	0.09180079297832816	0.7177282271772822	0.9057555782883251	Enriched
ARNTL	RORB	14	13.9319	0.9491851691048089	1.004888062647593	0.07174574805485587	0.7190280971902809	0.9057555782883251	Enriched
CRY1	RORA	12	11.9236	0.8983561344892333	1.0064074608339764	0.08504422362901472	0.7202279772022798	0.9057555782883251	Enriched
CLOCK	RORC	14	14.0304	1.0478480989932923	0.997833276314289	-0.0290118386712794	0.7241275872412759	0.9057555782883251	Depleted
CRY2	TIMELESS	14	13.9348	0.8773972547223174	1.004678933318024	0.07431069523990658	0.7347265273472653	0.9057555782883251	Enriched
CSNK1D	PER3	15	14.9054	0.8495428254662799	1.0063466931447662	0.11135400966758521	0.7365263473652635	0.9057555782883251	Enriched
RORB	RORC	13	13.0001	0.958223256439186	0.9999923077514788	-0.00010435981315186695	0.7370262973702629	0.9057555782883251	Depleted
CSNK1D	PER2	16	15.9457	0.8907473564851643	1.003405306759816	0.060960046195662164	0.7378262173782622	0.9057555782883251	Enriched
CLOCK	NR1D1	10	9.991	0.9311314088623887	1.0009008107296566	0.009665660415210464	0.7413258674132587	0.9057555782883251	Enriched
CLOCK	PER3	18	18.0457	1.0041475694508868	0.9974675407437783	-0.045511238975553064	0.7416258374162584	0.9057555782883251	Depleted
CSNK1E	PER2	15	14.9954	0.9307338322778724	1.0003067607399603	0.004942336724498265	0.7426257374262574	0.9057555782883251	Enriched
CLOCK	CSNK1D	12	11.9873	0.8988990554846497	1.0010594545894405	0.014128393975398359	0.7492250774922508	0.9057555782883251	Enriched
NPAS2	TIMELESS	18	18.0932	1.0216741857432736	0.9948488935069529	-0.09122281966260701	0.7505249475052495	0.9057555782883251	Depleted
CRY1	CSNK1E	8	7.9998	0.8751437297123058	1.0000250006250158	0.00022853388901748737	0.7557244275572442	0.9057555782883251	Enriched
PER1	PER3	21	21.0528	0.9603667999462725	0.9974920200638394	-0.05497899344599915	0.7562243775622438	0.9057555782883251	Depleted
ARNTL	RORA	12	12.1075	1.007395272236004	0.9911212058641338	-0.10671084425619157	0.7588241175882412	0.9057555782883251	Depleted
NR1D2	PER3	12	11.9169	0.7672374178346183	1.0069732900334818	0.10831067159697959	0.7615238476152385	0.9057555782883251	Enriched
NR1D1	PER3	12	12.0116	0.8765513528752452	0.9990342668753539	-0.013233679877339229	0.7624237576242375	0.9057555782883251	Depleted
