Gene1	Gene2	Observed_CoMutation	FixedMargin_Expected	Null_SD	Observed_Expected_Ratio	Permutation_Z	Permutation_P	FDR	Direction
CRY2	TIMELESS	14	12.8131	2.2217700187466796	1.092631759683449	0.5342137079829444	0.38196180381961803	0.9998000199980002	Enriched
CSNK1D	PER2	16	14.854	2.205894511770612	1.0771509357748754	0.5195171364201535	0.3902609739026097	0.9998000199980002	Enriched
ARNTL	CRY2	13	12.0406	2.2197397064602966	1.0796804145972791	0.4322128388332097	0.4166583341665833	0.9998000199980002	Enriched
CSNK1D	NR1D1	9	8.1557	1.9662767186775725	1.1035226896526356	0.4293902236547041	0.42705729427057293	0.9998000199980002	Enriched
NR1D1	PER1	13	12.1746	2.1188590789336694	1.0677968886041431	0.3895492664926959	0.43755624437556245	0.9998000199980002	Enriched
CLOCK	PER1	19	18.1297	2.4771135458738898	1.048004103763438	0.35133633718553303	0.43865613438656137	0.9998000199980002	Enriched
ARNTL	NPAS2	18	17.2838	2.4374682941873353	1.0414376468137794	0.29382946301616836	0.46595340465953405	0.9998000199980002	Enriched
CRY2	NR1D2	8	7.4319	1.8754503782857441	1.0764407486645406	0.30291390621556846	0.47825217478252174	0.9998000199980002	Enriched
ARNTL	RORB	14	13.4102	2.2954875051475727	1.0439814469582855	0.2569388849546725	0.48225177482251774	0.9998000199980002	Enriched
CRY1	RORA	12	11.4155	2.1540482219240675	1.0512023126450878	0.27134954271260714	0.48735126487351266	0.9998000199980002	Enriched
CRY2	CSNK1E	10	9.5793	2.0591589359620484	1.0439176140219013	0.20430671603474218	0.514048595140486	0.9998000199980002	Enriched
CRY2	NR1D1	9	8.6865	1.991184127955811	1.0360904852357105	0.15744400309269477	0.531946805319468	0.9998000199980002	Enriched
CLOCK	PER3	18	17.8586	2.4458136152258296	1.007917753911281	0.057813072557838775	0.5611438856114389	0.9998000199980002	Enriched
CLOCK	CSNK1D	12	11.9887	2.174498828354582	1.0009425542385746	0.005196599718819296	0.5854414558544145	0.9998000199980002	Enriched
NR1D2	RORC	9	8.9977	1.989394500607636	1.0002556208808917	0.001156130671567385	0.5921407859214078	0.9998000199980002	Enriched
NR1D1	PER3	12	12.0024	2.1549613977662307	0.9998000399920016	-0.0011137090448522674	0.5924407559244076	0.9998000199980002	Depleted
PER2	RORA	19	19.1005	2.4669431146325778	0.9947383576346169	-0.040738677517081115	0.5928407159284071	0.9998000199980002	Depleted
PER1	RORC	17	17.0903	2.4096320347003743	0.9947163010596655	-0.037474601391256614	0.5965403459654035	0.9998000199980002	Depleted
CSNK1D	PER1	13	13.0653	2.223315142534297	0.9950020282733653	-0.02937055514566723	0.5980401959804019	0.9998000199980002	Depleted
NPAS2	PER1	20	20.1716	2.512764381808181	0.9914929901445596	-0.06829132139978777	0.6036396360363964	0.9998000199980002	Depleted
NR1D1	TIMELESS	11	11.1855	2.118711552775504	0.9834160296812838	-0.0875532111754406	0.6279372062793721	0.9998000199980002	Depleted
RORA	TIMELESS	15	15.325	2.3725382807848177	0.9787928221859706	-0.1369840911028385	0.6344365563443656	0.9998000199980002	Depleted
CRY1	NR1D2	7	7.1672	1.869383218968742	0.9766715035160174	-0.08944126506722215	0.6367363263673632	0.9998000199980002	Depleted
NPAS2	TIMELESS	18	18.4033	2.456593697634903	0.9780854520656621	-0.16417041222090592	0.6398360163983602	0.9998000199980002	Depleted
CSNK1E	NR1D2	7	7.179	1.8537266870450524	0.9750661652040674	-0.09656223932630362	0.6403359664033597	0.9998000199980002	Depleted
CLOCK	NPAS2	18	18.4112	2.5056221531263296	0.9776657686625532	-0.16411093727238005	0.6406359364063594	0.9998000199980002	Depleted
NR1D2	RORB	8	8.2189	1.958102705840698	0.9733662655586515	-0.11179188882537008	0.6435356464353564	0.9998000199980002	Depleted
CSNK1E	PER2	15	15.3861	2.2455580694126596	0.9749059215785676	-0.17193944136166905	0.6554344565543445	0.9998000199980002	Depleted
