Cancer_Type	Cancer_Patients	Cancer_CLOCK16_Mutated	Cancer_Prevalence_Percent	Other_Patients	Other_CLOCK16_Mutated	Other_Prevalence_Percent	Odds_Ratio	OR_Lower_95CI	OR_Upper_95CI	Fisher_P	FDR	Direction
pheochromocytoma & paraganglioma	179	5	2.793	10414	1160	11.138851545995776	0.22924098295679746	0.09403216039566144	0.5588665414670552	8.819682554704601e-05	0.00018815322783369816	Depleted
colon adenocarcinoma	461	76	16.486	10132	1089	10.748124753257008	1.6392210177334143	1.2716254245936263	2.1130794438446134	0.0002461966706368864	0.0004923933412737728	Enriched
pancreatic adenocarcinoma	185	7	3.784	10408	1158	11.126056879323597	0.3141312996060624	0.14724640838853673	0.6701587799127329	0.0005386115987066997	0.001013857126977317	Depleted
testicular germ cell tumor	150	6	4.0	10443	1159	11.09834338791535	0.33376473971814785	0.1471555532382762	0.7570145946089061	0.0034951136714410596	0.006213535415895217	Depleted
thymoma	124	5	4.032	10469	1160	11.0803324099723	0.33718487394957986	0.1375226608137591	0.8267265812604103	0.00882765583912214	0.014867630886942552	Depleted
uveal melanoma	80	2	2.5	10513	1163	11.062494054979549	0.20614238155080802	0.05058522385559593	0.8400611528921403	0.010664059018667762	0.01706249442986842	Depleted
esophageal carcinoma	185	31	16.757	10408	1134	10.895465026902382	1.6462470510089557	1.1137895341379425	2.4332508700158377	0.01700160720212756	0.025037788413569254	Enriched
rectum adenocarcinoma	167	9	5.389	10426	1156	11.087665451755226	0.4567802549165608	0.23269827923533076	0.8966469454233896	0.017213479534328863	0.025037788413569254	Depleted
mesothelioma	87	3	3.448	10506	1162	11.06034646868456	0.28718957462503075	0.0906397892465665	0.90995193676965	0.02326691712744083	0.032371362959917674	Depleted
head & neck squamous cell carcinoma	528	72	13.636	10065	1093	10.859413810233482	1.2960947657340973	1.0029951733079305	1.674845190154857	0.053647499222312364	0.07152999896308315	Enriched
sarcoma	261	19	7.28	10332	1146	11.091753774680605	0.6293323525593874	0.39294383143752515	1.0079283049921173	0.0562849271321149	0.07204470672910707	Depleted
liver hepatocellular carcinoma	377	53	14.058	10216	1112	10.884886452623336	1.3392397193356427	0.9951015680464821	1.8023919200199994	0.06450941831190976	0.07939620715311971	Enriched
kidney chromophobe	66	3	4.545	10527	1162	11.038282511636744	0.3837800180313089	0.12032906013369657	1.2240360065678433	0.11233137973991565	0.1331334870991593	Depleted
cholangiocarcinoma	36	1	2.778	10557	1164	11.025859619210003	0.230559646539028	0.03155632323972143	1.6845356224925896	0.17558988998893754	0.2006741599873572	Depleted
kidney papillary cell carcinoma	291	38	13.058	10302	1127	10.939623374102116	1.2227712875836019	0.8646385117565198	1.729242453822015	0.25403797718364385	0.2803177679267794	Enriched
adrenocortical cancer	92	7	7.609	10501	1158	11.027521188458243	0.6644417352433202	0.30668498931977345	1.4395318809452078	0.4008548670123179	0.42757852481313907	Depleted
diffuse large B-cell lymphoma	48	3	6.25	10545	1162	11.019440493124703	0.538324727481354	0.16702697150336263	1.7350102777385257	0.48347647286793194	0.4990724881217362	Depleted
uterine carcinosarcoma	57	5	8.772	10536	1160	11.009870918754746	0.7771883289124668	0.3098054410589189	1.949680730374518	0.8308972990404905	0.8308972990404905	Depleted
