Cancer_Type	Gene1	Gene2	N	CLOCK16_Mutated_Patients	Mean_CLOCK16_Genes_Per_Patient	Observed_CoMutation	Permutation_Expected	Observed_Expected_Ratio	Permutation_SD	Permutation_Z	Permutation_P	Direction	FDR_within_cancer	FDR_global	Robust_Significant
liver hepatocellular carcinoma	NR1D2	PER1	53	53	1.0377358490566038	0	0.016666666666666666	0.0	0.12589191744305012	-0.1323886950423659	1.0	Depleted	1.0	1.0	False
liver hepatocellular carcinoma	NR1D2	PER2	53	53	1.0377358490566038	0	0.016666666666666666	0.0	0.12932947309589227	-0.1288698257844834	1.0	Depleted	1.0	1.0	False
liver hepatocellular carcinoma	NR1D2	PER3	53	53	1.0377358490566038	0	0.016666666666666666	0.0	0.13155185513347545	-0.1266927528293409	1.0	Depleted	1.0	1.0	False
liver hepatocellular carcinoma	NR1D2	RORA	53	53	1.0377358490566038	0	0.016666666666666666	0.0	0.12739455615250492	-0.13082714968381287	1.0	Depleted	1.0	1.0	False
liver hepatocellular carcinoma	NR1D2	RORB	53	53	1.0377358490566038	0	0.016666666666666666	0.0	0.12965057241328598	-0.12855066010459623	1.0	Depleted	1.0	1.0	False
liver hepatocellular carcinoma	NR1D2	RORC	53	53	1.0377358490566038	0	0.016666666666666666	0.0	0.1277735207594309	-0.1304391282920527	1.0	Depleted	1.0	1.0	False
liver hepatocellular carcinoma	NR1D2	TIMELESS	53	53	1.0377358490566038	0	0.016666666666666666	0.0	0.12739455615250492	-0.13082714968381287	1.0	Depleted	1.0	1.0	False
liver hepatocellular carcinoma	PER1	PER2	53	53	1.0377358490566038	0	0.016666666666666666	0.0	0.11918649479724706	-0.13983687241594783	1.0	Depleted	1.0	1.0	False
liver hepatocellular carcinoma	PER1	PER3	53	53	1.0377358490566038	0	0.016666666666666666	0.0	0.13115803537345433	-0.12707316497392357	1.0	Depleted	1.0	1.0	False
liver hepatocellular carcinoma	PER1	RORA	53	53	1.0377358490566038	0	0.016666666666666666	0.0	0.12395312193585026	-0.1344594343924004	1.0	Depleted	1.0	1.0	False
liver hepatocellular carcinoma	PER1	RORB	53	53	1.0377358490566038	0	0.016666666666666666	0.0	0.12548137135629236	-0.13282184029805713	1.0	Depleted	1.0	1.0	False
