Cancer_Type	Gene	Primary_Patients	Mutated_Patients	Prevalence_Percent	Odds_Ratio	P_value	FDR	Direction
brain lower grade glioma	NR1D1	516	1	0.193798449612403	0.252193587166249	0.185648592035847	0.495449651831731	Depleted
adrenocortical cancer	PER3	92	3	3.26086956521739	2.06056229953034	0.187977011246147	0.496104277103234	Enriched
testicular germ cell tumor	PER2	150	0	0	0	0.189137615265092	0.49630267499468	Depleted
esophageal carcinoma	CSNK1D	185	3	1.62162162162162	2.0502232904157	0.189990867771401	0.49630267499468	Enriched
brain lower grade glioma	NR1D2	516	1	0.193798449612403	0.233822798039943	0.193471781100712	0.50029066628063	Depleted
cervical & endocervical cancer	CRY2	308	5	1.62337662337662	1.95681556551839	0.192786323592102	0.50029066628063	Enriched
head & neck squamous cell carcinoma	NPAS2	528	4	0.757575757575758	0.488066396043264	0.195851505076109	0.503899349743556	Depleted
rectum adenocarcinoma	CRY1	167	3	1.79640718562874	2.01050968919432	0.196990897088105	0.50429669654555	Enriched
lung adenocarcinoma	CSNK1D	520	7	1.34615384615385	1.72608849891465	0.199872708189304	0.509128490512059	Enriched
lung adenocarcinoma	CRY2	520	7	1.34615384615385	1.62253884296188	0.216595884420325	0.548995509025774	Enriched
cervical & endocervical cancer	ARNTL	308	5	1.62337662337662	1.71521160010117	0.227654763471075	0.571368818123483	Enriched
bladder urothelial carcinoma	PER3	412	10	2.42718446601942	1.53835053449413	0.226608653393731	0.571368818123483	Enriched
esophageal carcinoma	PER3	185	5	2.7027027027027	1.70331042038888	0.229596996641093	0.573432498927998	Enriched
glioblastoma multiforme	CRY2	594	2	0.336700336700337	0.376199807763409	0.245650691351647	0.601785425703555	Depleted
kidney clear cell carcinoma	CRY1	536	2	0.373134328358209	0.392769259593263	0.242278063601854	0.601785425703555	Depleted
sarcoma	TIMELESS	261	2	0.766283524904215	0.40784191963132	0.24553291855568	0.601785425703555	Depleted
bladder urothelial carcinoma	PER2	412	10	2.42718446601942	1.44747981844601	0.243889182403563	0.601785425703555	Enriched
adrenocortical cancer	RORA	92	2	2.17391304347826	2.13827407723187	0.247639485864126	0.603768651249679	Enriched
lung squamous cell carcinoma	RORA	506	8	1.58102766798419	1.57246338689668	0.253176182045499	0.614342204773913	Enriched
bladder urothelial carcinoma	RORB	412	8	1.94174757281553	1.50740755046315	0.26478765436257	0.639487165252998	Enriched
pheochromocytoma & paraganglioma	RORA	179	0	0	0	0.267604610736496	0.640664577213786	Depleted
thymoma	NPAS2	124	0	0	0	0.267777772507325	0.640664577213786	Depleted
testicular germ cell tumor	RORB	150	0	0	0	0.271182417916432	0.642802768394506	Depleted
thymoma	PER1	124	0	0	0	0.270934804268278	0.642802768394506	Depleted
liver hepatocellular carcinoma	ARNTL	377	1	0.26525198938992	0.263734019922992	0.274342730389837	0.644327880548608	Depleted
lung squamous cell carcinoma	PER1	506	11	2.17391304347826	1.39641906252084	0.273326372533261	0.644327880548608	Enriched
thymoma	PER2	124	0	0	0	0.279825183734905	0.647865534267237	Depleted
uterine carcinosarcoma	TIMELESS	57	2	3.50877192982456	1.9589199938883	0.28054939400413	0.647865534267237	Enriched
cervical & endocervical cancer	TIMELESS	308	8	2.5974025974026	1.44780345757109	0.279164617130033	0.647865534267237	Enriched
lung squamous cell carcinoma	PER3	506	11	2.17391304347826	1.36998978367213	0.280910446498685	0.647865534267237	Enriched
pheochromocytoma & paraganglioma	CLOCK	179	0	0	0	0.282390618438716	0.648358729330146	Depleted
kidney clear cell carcinoma	PER1	536	5	0.932835820895522	0.568023238176734	0.285436729154754	0.651656488418971	Depleted
stomach adenocarcinoma	CSNK1D	478	6	1.25523012552301	1.59444051814139	0.286372480262243	0.651656488418971	Enriched
sarcoma	CRY2	261	4	1.53256704980843	1.83277146434958	0.288685499887061	0.654013167885732	Enriched
cervical & endocervical cancer	NR1D1	308	4	1.2987012987013	1.81540301601065	0.290637172089581	0.655534062157998	Enriched
head & neck squamous cell carcinoma	RORC	528	3	0.568181818181818	0.469634677103884	0.293370638599434	0.655920379750699	Depleted
adrenocortical cancer	RORC	92	2	2.17391304347826	1.89039253769999	0.292783838922266	0.655920379750699	Enriched
cholangiocarcinoma	ARNTL	36	1	2.77777777777778	2.92799220428672	0.296959423732214	0.661057499786494	Enriched
esophageal carcinoma	RORB	185	4	2.16216216216216	1.66904609058791	0.31236241878991	0.69233575073781	Enriched
glioblastoma multiforme	RORC	594	4	0.673400673400673	0.558142197368504	0.32540531227724	0.717170693795118	Depleted
brain lower grade glioma	RORB	516	4	0.775193798449612	0.571070492909971	0.326368694637231	0.717170693795118	Depleted
liver hepatocellular carcinoma	CLOCK	377	2	0.530503978779841	0.427113686635963	0.332234774543818	0.717746057949371	Depleted
sarcoma	PER2	261	2	0.766283524904215	0.435544998253889	0.332237921355471	0.717746057949371	Depleted
kidney papillary cell carcinoma	NPAS2	291	2	0.687285223367698	0.447206136799122	0.330941770990001	0.717746057949371	Depleted
glioblastoma multiforme	CLOCK	594	4	0.673400673400673	0.539918767676823	0.329185286231529	0.717746057949371	Depleted
breast invasive carcinoma	NR1D1	1101	5	0.454132606721163	0.588652862749852	0.349069897441809	0.750940283572296	Depleted
skin cutaneous melanoma	CLOCK	104	2	1.92307692307692	1.61255848809445	0.358743788097118	0.768522257346128	Enriched
esophageal carcinoma	NPAS2	185	4	2.16216216216216	1.46175208508065	0.361502433540057	0.771205191552123	Enriched
uterine carcinosarcoma	NR1D2	57	1	1.75438596491228	2.24865675335892	0.365556380775882	0.773408541145668	Enriched
kidney papillary cell carcinoma	CSNK1E	291	4	1.3745704467354	1.45109802552277	0.36518657446955	0.773408541145668	Enriched
cervical & endocervical cancer	CRY1	308	4	1.2987012987013	1.44190891707842	0.368155854969546	0.775702871376163	Enriched
lung adenocarcinoma	PER3	520	11	2.11538461538462	1.33044383158198	0.369763214739865	0.775896581749224	Enriched
pancreatic adenocarcinoma	PER2	185	1	0.540540540540541	0.307100808798617	0.38199432787569	0.776115459810925	Depleted
sarcoma	CLOCK	261	1	0.383141762452107	0.309075798506802	0.380368262891042	0.776115459810925	Depleted
liver hepatocellular carcinoma	CSNK1D	377	1	0.26525198938992	0.317011051622427	0.37514384314846	0.776115459810925	Depleted
pheochromocytoma & paraganglioma	PER2	179	1	0.558659217877095	0.317638425478818	0.377909150762098	0.776115459810925	Depleted
pancreatic adenocarcinoma	PER3	185	1	0.540540540540541	0.32537716270667	0.376017563534421	0.776115459810925	Depleted
pheochromocytoma & paraganglioma	PER3	179	1	0.558659217877095	0.336541687699417	0.374785216874311	0.776115459810925	Depleted
diffuse large B-cell lymphoma	CSNK1E	48	1	2.08333333333333	2.20002779761966	0.372160088650884	0.776115459810925	Enriched
lung squamous cell carcinoma	PER2	506	11	2.17391304347826	1.28859285322584	0.380510491510171	0.776115459810925	Enriched
pheochromocytoma & paraganglioma	TIMELESS	179	1	0.558659217877095	0.297540167142474	0.387371916114376	0.783930517986405	Depleted
uterine carcinosarcoma	CRY2	57	1	1.75438596491228	2.0724132391727	0.389262816007565	0.784655755101862	Enriched
adrenocortical cancer	PER2	92	0	0	0	0.411839660577424	0.787654902882418	Depleted
mesothelioma	PER2	87	0	0	0	0.40822154346917	0.787654902882418	Depleted
pancreatic adenocarcinoma	CRY2	185	0	0	0	0.412288113227515	0.787654902882418	Depleted
pheochromocytoma & paraganglioma	CRY2	179	0	0	0	0.409788633346958	0.787654902882418	Depleted
pheochromocytoma & paraganglioma	CSNK1D	179	0	0	0	0.407327802741591	0.787654902882418	Depleted
pheochromocytoma & paraganglioma	NR1D2	179	0	0	0	0.406996042171263	0.787654902882418	Depleted
rectum adenocarcinoma	CRY2	167	0	0	0	0.407234398379404	0.787654902882418	Depleted
testicular germ cell tumor	ARNTL	150	0	0	0	0.407697068002336	0.787654902882418	Depleted
testicular germ cell tumor	CSNK1E	150	0	0	0	0.407491839124511	0.787654902882418	Depleted
thymoma	RORC	124	0	0	0	0.407691187316194	0.787654902882418	Depleted
uveal melanoma	TIMELESS	80	0	0	0	0.407346463290472	0.787654902882418	Depleted
uterine carcinosarcoma	CRY1	57	1	1.75438596491228	1.94179671207054	0.408888296332877	0.787654902882418	Enriched
liver hepatocellular carcinoma	CRY1	377	5	1.3262599469496	1.47898944903078	0.398151127493825	0.787654902882418	Enriched
lung adenocarcinoma	TIMELESS	520	12	2.30769230769231	1.28373203848431	0.398987730688058	0.787654902882418	Enriched
pheochromocytoma & paraganglioma	CRY1	179	0	0	0	0.415525723130296	0.788376028568223	Depleted
thymoma	RORB	124	0	0	0	0.415745171315274	0.788376028568223	Depleted
adrenocortical cancer	TIMELESS	92	0	0	0	0.418867360732991	0.791365640942034	Depleted
pancreatic adenocarcinoma	CSNK1E	185	0	0	0	0.427901312003684	0.791453153156525	Depleted
pheochromocytoma & paraganglioma	CSNK1E	179	0	0	0	0.422343401698685	0.791453153156525	Depleted
uterine carcinosarcoma	ARNTL	57	1	1.75438596491228	1.82662179324978	0.427893843375991	0.791453153156525	Enriched
pancreatic adenocarcinoma	ARNTL	185	3	1.62162162162162	1.69900444025001	0.429734329252957	0.791453153156525	Enriched
lung squamous cell carcinoma	NR1D1	506	5	0.988142292490119	1.36898313315632	0.423270734378716	0.791453153156525	Enriched
cervical & endocervical cancer	CLOCK	308	5	1.62337662337662	1.3632696692594	0.424977871887504	0.791453153156525	Enriched
liver hepatocellular carcinoma	TIMELESS	377	9	2.38726790450928	1.32603043121388	0.428968953924891	0.791453153156525	Enriched
lung squamous cell carcinoma	NR1D2	506	2	0.395256916996047	0.484199639067738	0.440287907555003	0.802134872555653	Depleted
prostate adenocarcinoma	NR1D2	498	2	0.401606425702811	0.492392582531534	0.439782288560417	0.802134872555653	Depleted
liver hepatocellular carcinoma	RORA	377	2	0.530503978779841	0.499179373920964	0.441800847774794	0.802134872555653	Depleted
cholangiocarcinoma	PER1	36	1	2.77777777777778	1.76670831110738	0.440067344603392	0.802134872555653	Enriched
brain lower grade glioma	CSNK1D	516	2	0.387596899224806	0.462920249914984	0.444407652869956	0.804016672330096	Depleted
lung squamous cell carcinoma	CRY1	506	6	1.18577075098814	1.31811325151155	0.46928681738843	0.845799216213966	Enriched
cervical & endocervical cancer	NPAS2	308	6	1.94805194805195	1.31563272352827	0.470806204337852	0.845799216213966	Enriched
head & neck squamous cell carcinoma	PER3	528	6	1.13636363636364	0.685440908059783	0.478666149127285	0.856912826409685	Depleted
prostate adenocarcinoma	RORA	498	3	0.602409638554217	0.565745596310862	0.492999591472427	0.861487340729975	Depleted
