Cancer_Type	Gene	Cancer_Patients	Gene_Mutated_Cancer_Patients	Cancer_Prevalence_Percent	Other_Prevalence_Percent	Odds_Ratio	Fisher_P	Direction	FDR
prostate adenocarcinoma	CSNK1D	498	0	0.0	0.8519068845963348	0.0	0.03497100127214496	Depleted	0.1541027437239802
sarcoma	NPAS2	261	0	0.0	1.5389082462253194	0.0	0.03521488479630016	Depleted	0.1541027437239802
head & neck squamous cell carcinoma	PER2	528	3	0.5681818181818182	1.7784401390958768	0.31559457302474064	0.036885950975655106	Depleted	0.16004751609775775
prostate adenocarcinoma	TIMELESS	498	3	0.6024096385542169	1.892025755324418	0.3142630493415834	0.037352558728276454	Depleted	0.16071016864602977
colon adenocarcinoma	CRY1	461	9	1.9522776572668112	0.8685353335965259	2.272626709573612	0.03817753731396726	Enriched	0.16289082587292697
cervical & endocervical cancer	CSNK1D	308	6	1.948051948051948	0.7778317938745746	2.5343543046357615	0.03894143681716158	Enriched	0.1647769888461713
ovarian serous cystadenocarcinoma	CRY1	592	1	0.16891891891891891	0.9599040095990401	0.17458051325437113	0.04418946196773471	Depleted	0.18545085678262435
colon adenocarcinoma	ARNTL	461	9	1.9522776572668112	0.927753651796289	2.126294483148183	0.04517198531789391	Enriched	0.18803297953464782
lung adenocarcinoma	PER1	520	14	2.6923076923076925	1.5387670008934775	1.7703939818946832	0.047624289204383836	Enriched	0.19664222639229456
skin cutaneous melanoma	NR1D2	104	3	2.8846153846153846	0.7722375822290019	3.8166483314998167	0.049474730843704316	Enriched	0.20264849753581288
breast invasive carcinoma	PER2	1101	11	0.9990917347865577	1.8015170670037928	0.5500885240624497	0.05011499609269175	Depleted	0.2036418888845887
lung squamous cell carcinoma	RORC	506	11	2.1739130434782608	1.1202537920095172	1.9614552605703048	0.051065300607939235	Enriched	0.20586955835641643
thyroid carcinoma	NR1D1	507	0	0.0	0.7733491969066032	0.0	0.05397899981512029	Depleted	0.21591599926048116
colon adenocarcinoma	RORA	461	9	1.9522776572668112	0.9968416896960126	1.9775475335144135	0.057402049136852325	Enriched	0.22782828804704178
bladder urothelial carcinoma	RORC	412	9	2.1844660194174756	1.1295550535310874	1.9547739777753803	0.059509767362387445	Enriched	0.2343769299195567
lung squamous cell carcinoma	TIMELESS	506	15	2.964426877470356	1.7745613165460494	1.690996597981545	0.059991149006466564	Enriched	0.234469223597793
glioblastoma multiforme	PER1	594	4	0.6734006734006734	1.6501650165016502	0.4040677966101695	0.06360524990672763	Depleted	0.245747347351089
brain lower grade glioma	CSNK1E	516	1	0.1937984496124031	1.0022824253249976	0.19179082956839374	0.06413350420253101	Depleted	0.245747347351089
brain lower grade glioma	TIMELESS	516	4	0.7751937984496124	1.8854817902153418	0.4065378289473684	0.06431668856454283	Depleted	0.245747347351089
kidney clear cell carcinoma	CSNK1E	536	1	0.1865671641791045	1.0042756289151835	0.1842509484593319	0.06500317271209588	Depleted	0.2465305513229118
kidney clear cell carcinoma	ARNTL	536	1	0.1865671641791045	1.0142189519737497	0.18242624152464723	0.06562351876282167	Depleted	0.24705324710709337
stomach adenocarcinoma	CRY2	478	8	1.6736401673640167	0.8205635195254573	2.0573186362471163	0.0673567269894345	Enriched	0.2517273300627041
brain lower grade glioma	PER1	516	3	0.5813953488372093	1.6473156693460356	0.34915098992461074	0.06844339192931406	Depleted	0.25393490338991886
colon adenocarcinoma	RORC	461	10	2.1691973969631237	1.1251480457954994	1.9484965184580076	0.06982514971873435	Enriched	0.257197673784115
colon adenocarcinoma	NPAS2	461	12	2.6030368763557483	1.4508487958941967	1.815372028544157	0.07279835130069251	Enriched	0.26623397047110403
stomach adenocarcinoma	RORC	478	10	2.092050209205021	1.1270390509144834	1.8745314140050982	0.07535551023454526	Enriched	0.273631356312675
bladder urothelial carcinoma	RORA	412	8	1.941747572815534	1.0018662213927905	1.9567074354494274	0.07699423065896847	Enriched	0.27761300068585815
rectum adenocarcinoma	TIMELESS	167	0	0.0	1.8607327834260503	0.0	0.07841586154686231	Depleted	0.2807616860978567
colon adenocarcinoma	NR1D1	461	7	1.5184381778741864	0.700750098697197	2.1848669107153937	0.08337231278586668	Enriched	0.29643488990530376
skin cutaneous melanoma	PER3	104	4	3.8461538461538463	1.6016779483268186	2.4573809523809524	0.08893467029242791	Enriched	0.3140261862485712
bladder urothelial carcinoma	CRY2	412	7	1.6990291262135921	0.8250662999705334	2.0775720164609055	0.09029573074711178	Enriched	0.3140261862485712
thyroid carcinoma	NPAS2	507	3	0.591715976331361	1.5466983938132064	0.3788919413919414	0.09123425375180316	Depleted	0.3140261862485712
glioblastoma multiforme	NR1D2	594	1	0.16835016835016836	0.83008300830083	0.20146691318393303	0.09147285642408615	Depleted	0.3140261862485712
thyroid carcinoma	CRY1	507	1	0.19723865877712032	0.9518143961927424	0.20565711462450592	0.09202180181658441	Depleted	0.3140261862485712
glioblastoma multiforme	RORB	594	3	0.5050505050505051	1.3701370137013702	0.36540812923783766	0.09207473211961019	Depleted	0.3140261862485712
brain lower grade glioma	CRY1	516	1	0.1937984496124031	0.9526644834772253	0.20188106796116506	0.09270101601761113	Depleted	0.3140261862485712
glioblastoma multiforme	CSNK1D	594	1	0.16835016835016836	0.8500850085008501	0.19668683662335085	0.09322652404254458	Depleted	0.3140261862485712
lung adenocarcinoma	RORC	520	2	0.38461538461538464	1.2111585426387372	0.3149249952528641	0.09412237624019401	Depleted	0.31497161199332896
kidney clear cell carcinoma	RORC	536	2	0.373134328358209	1.213085413145073	0.3049978510468472	0.0951783497170631	Depleted	0.3153273612067886
lung squamous cell carcinoma	CSNK1E	506	1	0.1976284584980237	1.0012887875483296	0.19578472698755023	0.0954604316153364	Depleted	0.3153273612067886
head & neck squamous cell carcinoma	CSNK1E	528	9	1.7045454545454546	0.9239940387481371	1.8594070482938654	0.10159005662871345	Enriched	0.3334237756019313
skin cutaneous melanoma	PER2	104	4	3.8461538461538463	1.6970159214415101	2.317078651685393	0.10395452029073916	Enriched	0.33901091967425767
cervical & endocervical cancer	PER2	308	9	2.9220779220779223	1.6820612542537676	1.7593906470508631	0.11301455034696972	Enriched	0.3662243656813196
glioblastoma multiforme	NPAS2	594	4	0.6734006734006734	1.5501550155015502	0.4305740841990159	0.11431831228591124	Depleted	0.36811934522255696
sarcoma	RORA	261	0	0.0	1.064653503677894	0.0	0.11767065175873251	Depleted	0.37313991631158366
pheochromocytoma & paraganglioma	NPAS2	179	0	0.0	1.5267908584597658	0.0	0.11793200945418886	Depleted	0.37313991631158366
colon adenocarcinoma	CRY2	461	7	1.5184381778741864	0.8290564547966838	1.844346549192364	0.11813729506600358	Enriched	0.37313991631158366
testicular germ cell tumor	TIMELESS	150	0	0.0	1.8577037249832424	0.0	0.11879259054450808	Depleted	0.37313991631158366
pheochromocytoma & paraganglioma	PER1	179	0	0.0	1.6228154407528328	0.0	0.12168517129051348	Depleted	0.37989516890696895
bladder urothelial carcinoma	ARNTL	412	7	1.6990291262135921	0.9429329142520381	1.8157150205761317	0.12258556871663767	Enriched	0.3803867344419302
skin cutaneous melanoma	TIMELESS	104	4	3.8461538461538463	1.81142148917914	2.1682105263157894	0.12340369935483167	Enriched	0.38061863897393866
prostate adenocarcinoma	NPAS2	498	3	0.6024096385542169	1.5453194650817237	0.3861305361305361	0.12607090068404128	Depleted	0.3865167733546655
lung adenocarcinoma	NR1D2	520	1	0.19230769230769232	0.8239849101558622	0.23191030016017827	0.13041779584951524	Depleted	0.39383071761322463
thyroid carcinoma	CSNK1D	507	1	0.19723865877712032	0.842752329962324	0.2325273192280865	0.13063873162591874	Depleted	0.39383071761322463
kidney clear cell carcinoma	NR1D2	536	1	0.1865671641791045	0.8252958138609924	0.22461434523139287	0.130764105457516	Depleted	0.39383071761322463
glioblastoma multiforme	NR1D1	594	1	0.16835016835016836	0.77007700770077	0.21729703685858828	0.13187683140456063	Depleted	0.39485928467330433
