Cancer_Type	Gene	Cancer_Patients	Gene_Mutated_Cancer_Patients	Cancer_Prevalence_Percent	Other_Prevalence_Percent	Odds_Ratio	Fisher_P	Direction	FDR	minus_log10_FDR	log2_OR	Signal_Score
stomach adenocarcinoma	RORA	478	16	3.3472803347280333	0.9293129016312408	3.691995947315096	3.178840283080002e-05	Enriched	0.0008716677134803	3.059649039957924	1.884400969345653	5.7656056167542085
thyroid carcinoma	TIMELESS	507	1	0.1972386587771203	1.9135435256791593	0.1013025046591165	0.0017293446689108	Depleted	0.0183062359872885	1.73740094340973	-3.303258250317753	5.739084000428038
bladder urothelial carcinoma	NR1D2	412	12	2.912621359223301	0.7071996856890286	4.212083333333333	9.112239339891388e-05	Enriched	0.0018463695434242	2.7336813723198023	2.0745339794304507	5.671114895813495
stomach adenocarcinoma	ARNTL	478	15	3.1380753138075312	0.8699950568462679	3.6914637738071865	5.51079127602189e-05	Enriched	0.0012825114242378	2.891938757630307	1.8841930006938064	5.448970765562167
breast invasive carcinoma	RORA	1101	2	0.181653042688465	1.1378002528445006	0.1581235466585785	0.0008364661657332	Depleted	0.0107067669213849	1.9703416515002794	-2.660875875084191	5.242834566150637
brain lower grade glioma	PER2	516	1	0.1937984496124031	1.796169494889352	0.1061631711634393	0.0024837376241687	Depleted	0.0244552627610461	1.6116276665143685	-3.2356447241774173	5.214654556495579
brain lower grade glioma	PER3	516	1	0.1937984496124031	1.6969336111938076	0.1124850962357349	0.0035146822606837	Depleted	0.032718496681274	1.485206659096865	-3.152194231322065	4.681659863126255
breast invasive carcinoma	ARNTL	1101	2	0.181653042688465	1.0640539401601348	0.1692087316101946	0.0017519639909709	Depleted	0.0183062359872885	1.73740094340973	-2.563124077696043	4.453174190665299
bladder urothelial carcinoma	TIMELESS	412	20	4.854368932038835	1.709065907081819	2.934259910860896	6.575861509342769e-05	Enriched	0.0014028504553264	2.8529886225483208	1.552996667706074	4.430681823820884
prostate adenocarcinoma	PER3	498	1	0.2008032128514056	1.6939078751857355	0.1167708002400367	0.0052733062879422	Depleted	0.0420430046758592	1.3763062539302968	-3.098248536555753	4.264138837092073
stomach adenocarcinoma	TIMELESS	478	22	4.602510460251046	1.7004448838358872	2.788989188086495	6.203787080224077e-05	Enriched	0.0013810169500324	2.859800991037325	1.4797423415644215	4.231768614885825
stomach adenocarcinoma	PER3	478	20	4.184100418410042	1.5027187345526445	2.862273040680303	9.376095337701104e-05	Enriched	0.0018463695434242	2.7336813723198023	1.5171613015706975	4.147435588908282
stomach adenocarcinoma	NR1D2	478	12	2.510460251046025	0.7118141374196737	3.5919170243204577	0.0003630388382302	Enriched	0.0058681209834855	2.2315009408549114	1.8447540232460828	4.116570338519517
colon adenocarcinoma	PER1	461	19	4.1214750542299345	1.4804579549940782	2.860603318250377	0.0001364828781304	Enriched	0.0025881197630665	2.5870156309262575	1.5163194520577652	3.9227421239509765
breast invasive carcinoma	RORB	1101	4	0.36330608537693	1.4327855035819637	0.2508445493055928	0.0012149017690894	Depleted	0.0141370387675862	1.8496415510468456	-1.9951345053011047	3.6902836809322164
breast invasive carcinoma	TIMELESS	1101	7	0.6357856494096276	1.9700800674252	0.3183871188495342	0.0007722652805859	Depleted	0.0101384570169228	1.9940281357350134	-1.651146125676075	3.292431830807954
colon adenocarcinoma	CSNK1D	461	11	2.386117136659436	0.7402289774970391	3.277837037037037	0.0012043732801898	Enriched	0.0141370387675862	1.8496415510468456	1.7127441303059647	3.167962709725505
ovarian serous cystadenocarcinoma	PER3	592	2	0.3378378378378378	1.6998300169983005	0.1960319042871386	0.006429636083872	Depleted	0.0498783890142799	1.3020875819278006	-2.3508396221229892	3.0609990790701875
breast invasive carcinoma	PER3	1101	6	0.5449591280653951	1.748841129372103	0.3078395774880343	0.0014258624129574	Depleted	0.0158704685963965	1.7994102499417632	-1.6997493707744098	3.0585464401035356
