Cancer_Type	Burden_Group	N	CLOCK16_Mutated	CLOCK16_Unmutated	Reference_N	Reference_CLOCK16_Mutated	Odds_Ratio	Fisher_P	Cancer_Median_Total_Mutations	FDR
prostate adenocarcinoma	Low	259	5	254	239	18	0.24168853893263342	0.004425866137153532	37.0	0.008851732274307064
prostate adenocarcinoma	High	239	18	221	259	5	4.137556561085973	0.004425866137153532	37.0	0.008851732274307064
rectum adenocarcinoma	Low	86	0	86	81	9	0.0	0.001166860415582321	97.0	0.0024893022199089514
rectum adenocarcinoma	High	81	9	72	86	0	inf	0.001166860415582321	97.0	0.0024893022199089514
sarcoma	Low	132	7	125	129	12	0.546	0.2408604779085805	63.0	0.32114730387810736
sarcoma	High	129	12	117	132	7	1.8315018315018314	0.2408604779085805	63.0	0.32114730387810736
skin cutaneous melanoma	Low	52	8	44	52	25	0.19636363636363635	0.000626210916168948	395.5	0.0015414422551851027
skin cutaneous melanoma	High	52	25	27	52	8	5.092592592592593	0.000626210916168948	395.5	0.0015414422551851027
stomach adenocarcinoma	Low	239	13	226	239	92	0.09191035013466718	1.911677190949045e-19	150.5	2.0391223370123148e-18
stomach adenocarcinoma	High	239	92	147	239	13	10.880167451596023	1.911677190949045e-19	150.5	2.0391223370123148e-18
testicular germ cell tumor	Low	78	2	76	72	4	0.4473684210526316	0.4276341522672756	21.0	0.5263189566366469
testicular germ cell tumor	High	72	4	68	78	2	2.235294117647059	0.4276341522672755	21.0	0.5263189566366469
thymoma	Low	63	2	61	61	3	0.6338797814207651	0.677232412819996	24.0	0.7472909382841335
thymoma	High	61	3	58	63	2	1.5775862068965518	0.677232412819996	24.0	0.7472909382841335
thyroid carcinoma	Low	270	3	267	237	3	0.8764044943820225	1.0	13.0	1.0
thyroid carcinoma	High	237	3	234	270	3	1.141025641025641	1.0	13.0	1.0
uterine carcinosarcoma	Low	29	2	27	28	3	0.6172839506172839	0.6701272907827031	65.0	0.7472909382841335
uterine carcinosarcoma	High	28	3	25	29	2	1.62	0.670127290782703	65.0	0.7472909382841335
uterine corpus endometrioid carcinoma	Low	276	8	268	271	146	0.025557145777959516	1.0642780552629633e-45	92.0	3.4056897768414824e-44
uterine corpus endometrioid carcinoma	High	271	146	125	276	8	39.128	1.0642780552629633e-45	92.0	3.4056897768414824e-44
uveal melanoma	Low	43	0	43	37	2	0.0	0.21075949367088606	16.0	0.3065592635212888
uveal melanoma	High	37	2	35	43	0	inf	0.21075949367088606	16.0	0.3065592635212888
