Gene1	Gene2	Cancer_Types	Significant_Cancer_Count	Enriched_Cancer_Count	Depleted_Cancer_Count	Best_FDR	Median_OE_Ratio	Max_OE_Ratio
CRY2	CSNK1E	1	0	1	0	1.0	1.3323562720671507	1.3323562720671507
CRY2	NR1D1	1	0	0	1	1.0	0.0	0.0
CRY2	NR1D2	1	0	0	1	1.0	0.9384384384384383	0.9384384384384383
CRY2	PER2	1	0	0	1	1.0	0.7791600654494455	0.7791600654494455
CRY2	PER3	1	0	1	0	1.0	1.481544192346766	1.481544192346766
CRY2	RORA	1	0	1	0	1.0	1.0298130889243602	1.0298130889243602
CRY2	RORB	1	0	1	0	1.0	1.8577001671930151	1.8577001671930151
CRY2	RORC	1	0	1	0	1.0	1.1570056693277797	1.1570056693277797
CSNK1D	CLOCK	1	0	0	1	1.0	0.855395406526667	0.855395406526667
CSNK1D	CSNK1E	1	0	1	0	1.0	1.7024174327545114	1.7024174327545114
CSNK1D	NR1D1	1	0	1	0	1.0	2.359882005899705	2.359882005899705
CSNK1D	NR1D2	1	0	1	0	1.0	1.2094823415578133	1.2094823415578133
CSNK1D	PER1	1	0	0	1	1.0	0.9262689885142646	0.9262689885142646
CSNK1D	PER2	1	0	0	1	1.0	0.3359763472651525	0.3359763472651525
CSNK1D	PER3	1	0	1	0	1.0	1.0949005009169792	1.0949005009169792
CSNK1D	RORA	1	0	0	1	1.0	0.6639665360865813	0.6639665360865813
CSNK1D	RORB	1	0	1	0	1.0	1.782637114504724	1.782637114504724
CSNK1D	RORC	1	0	0	1	1.0	0.7472724555372888	0.7472724555372888
CSNK1E	CLOCK	1	0	0	1	1.0	0.8613264427217915	0.8613264427217915
CSNK1E	NR1D1	1	0	0	1	1.0	0.0	0.0
CSNK1E	NR1D2	1	0	0	1	1.0	0.0	0.0
CSNK1E	PER1	1	0	1	0	1.0	1.3874757191749145	1.3874757191749145
CSNK1E	PER2	1	0	0	1	1.0	0.9981036031540074	0.9981036031540074
CSNK1E	PER3	1	0	1	0	1.0	1.3613591810063166	1.3613591810063166
CSNK1E	RORA	1	0	1	0	1.0	2.0058839261834716	2.0058839261834716
CSNK1E	RORB	1	0	0	1	1.0	0.5991970759182695	0.5991970759182695
CSNK1E	RORC	1	0	0	1	1.0	0.758322590429969	0.758322590429969
NPAS2	ARNTL	1	0	1	0	1.0	1.4982395685070042	1.4982395685070042
NPAS2	CLOCK	1	0	1	0	1.0	1.1330588812931979	1.1330588812931979
