Cancer_Type	N	Gene1	Gene2	Gene1_Mutated	Gene2_Mutated	Observed_CoMutation	Expected_Independence	Permutation_Expected	Null_SD	Observed_Expected_Ratio	Permutation_Z	Permutation_P	FDR	Direction
uterine corpus endometrioid carcinoma	42	CRY2	RORA	9	9	2	1.9285714285714286	1.9421	1.0822498401347294	1.0298130889243602	0.053499661402391235	1.0	1.0	Enriched
uterine corpus endometrioid carcinoma	42	CRY2	RORB	9	10	4	2.142857142857143	2.1532	1.152415969282197	1.8577001671930151	1.602546345440104	0.18438156184381563	1.0	Enriched
uterine corpus endometrioid carcinoma	42	CRY2	RORC	9	8	2	1.7142857142857142	1.7286	1.0726868628404895	1.1570056693277797	0.2530095309280932	1.0	1.0	Enriched
uterine corpus endometrioid carcinoma	42	CRY2	CLOCK	9	14	4	3.0	2.9867	1.2677869846247194	1.3392707670673318	0.7992667634933557	0.44575542445755423	1.0	Enriched
uterine corpus endometrioid carcinoma	42	CRY2	NR1D1	9	5	0	1.0714285714285714	1.064	0.8634689096057747	0.0	-1.232238923907266	0.33336666333366666	1.0	Depleted
uterine corpus endometrioid carcinoma	42	CRY2	NR1D2	9	5	1	1.0714285714285714	1.0656	0.865893536851798	0.9384384384384383	-0.07575989103522765	1.0	1.0	Depleted
uterine corpus endometrioid carcinoma	42	ARNTL	CSNK1D	7	7	1	1.1666666666666667	1.1653	0.9206848951012537	0.8581481163648845	-0.17954025408641128	1.0	1.0	Depleted
uterine corpus endometrioid carcinoma	42	ARNTL	CSNK1E	7	7	3	1.1666666666666667	1.1754	0.9173434427188052	2.5523226135783563	1.9890042431570503	0.0801919808019198	1.0	Enriched
uterine corpus endometrioid carcinoma	42	ARNTL	PER1	7	13	1	2.1666666666666665	2.1468	1.1229318134177864	0.46580957704490406	-1.0212552412328293	0.40215978402159785	1.0	Depleted
uterine corpus endometrioid carcinoma	42	ARNTL	PER2	7	18	1	3.0	2.9992	1.2133204748364983	0.33342224593224856	-1.6477097695638931	0.21207879212078792	1.0	Depleted
uterine corpus endometrioid carcinoma	42	ARNTL	PER3	7	22	3	3.6666666666666665	3.6506	1.2173199360819973	0.8217827206486605	-0.5344527602940499	0.6891310868913109	1.0	Depleted
uterine corpus endometrioid carcinoma	42	ARNTL	RORA	7	9	1	1.5	1.4903	0.9911630291808918	0.6710058377507885	-0.4946713966976647	1.0	1.0	Depleted
