Gene1	Gene2	Gene1_Mutant	Gene2_Mutant	Observed_CoMutation	Expected_CoMutation	Odds_Ratio	P_value	FDR	Direction	Observed_Expected_Ratio
PER3	RORC	43	36	13	2.829981718464351	9.06231884057971	4.423410481418425e-07	6.3952922622917e-07	Co-mutated	4.593669250645995
CRY1	RORB	27	32	10	1.5795246800731262	13.315508021390375	4.658326585085111e-07	6.6547522644073e-07	Co-mutated	6.331018518518518
CRY2	NR1D1	28	24	9	1.2285191956124315	15.91578947368421	4.896453228691528e-07	6.912639852270393e-07	Co-mutated	7.325892857142857
CLOCK	CRY2	39	28	11	1.9963436928702012	11.346638655462185	5.21324638897175e-07	7.274297286937324e-07	Co-mutated	5.51007326007326
NR1D2	RORC	20	36	9	1.3162705667276051	15.151515151515152	8.383959499161088e-07	1.1564082067808398e-06	Co-mutated	6.8375
CLOCK	NR1D1	39	24	10	1.7111517367458866	12.167487684729064	1.0069038369020856e-06	1.3730506866846621e-06	Co-mutated	5.844017094017095
CSNK1D	RORC	26	36	10	1.7111517367458866	11.899038461538462	1.0721870977989102e-06	1.4295827970652137e-06	Co-mutated	5.844017094017095
ARNTL	CSNK1D	36	26	10	1.7111517367458866	11.899038461538462	1.0721870977989102e-06	1.4295827970652137e-06	Co-mutated	5.844017094017095
ARNTL	CLOCK	36	39	12	2.56672760511883	8.962962962962964	1.1515760644753482e-06	1.5185618432641956e-06	Co-mutated	4.6752136752136755
CRY1	PER1	27	44	11	2.1718464351005484	10.145833333333334	1.3168249537571907e-06	1.7175977657702487e-06	Co-mutated	5.064814814814815
CRY2	NR1D2	28	20	8	1.023765996343693	16.9	1.3826700013646668e-06	1.7840903243415055e-06	Co-mutated	7.814285714285714
ARNTL	CSNK1E	36	27	10	1.776965265082267	11.176470588235293	1.6263568135138313e-06	2.0762001874644655e-06	Co-mutated	5.627572016460905
CSNK1D	TIMELESS	26	39	10	1.853747714808044	10.60344827586207	2.4611965538954404e-06	3.108879857552135e-06	Co-mutated	5.394477317554241
NR1D1	PER2	24	54	11	2.3692870201096894	9.445438282647585	2.9595782660593005e-06	3.6994728325741257e-06	Co-mutated	4.642746913580247
CSNK1E	TIMELESS	27	39	10	1.9250457038391224	9.959432048681542	3.713192825211186e-06	4.593640608508684e-06	Co-mutated	5.194681861348528
ARNTL	RORC	36	36	11	2.3692870201096894	8.5536	4.000094619054902e-06	4.898075043740696e-06	Co-mutated	4.642746913580247
NR1D2	RORB	20	32	8	1.170018281535649	13.972222222222221	4.3088209425324425e-06	5.222813263675687e-06	Co-mutated	6.8374999999999995
NPAS2	RORA	45	35	12	2.8793418647166362	7.573122529644269	4.600629168183478e-06	5.520755001820173e-06	Co-mutated	4.167619047619048
CSNK1E	RORB	27	32	9	1.5795246800731262	10.804347826086957	5.6923170060661505e-06	6.763148918098397e-06	Co-mutated	5.697916666666666
CRY1	CSNK1D	27	26	8	1.283363802559415	11.742690058479532	1.0292188974039922e-05	1.2108457616517556e-05	Co-mutated	6.233618233618234
CRY1	CSNK1E	27	27	8	1.3327239488117002	11.102493074792244	1.4157093088957727e-05	1.6493700686164342e-05	Co-mutated	6.002743484224966
