Gene A,Gene B,Both Mutated n,Gene A Only n,Gene B Only n,Neither Mutated n,Odds Ratio,Log2 Odds Ratio,Unadjusted Fisher P,Unadjusted Fisher FDR,Unadjusted Significance,Permutation Observed/Expected Ratio,Permutation TMB-Adjusted FDR,Permutation TMB-Adjusted Significance
CRY2,PER1,19,79,165,1031,1.503,0.588,0.1327890434709118,0.2529315113731653,Not Significant,2.1524663677130045,0.8099190080991902,Not Significant (FDR >= 0.05)
CLOCK,RORB,24,132,127,1011,1.447,0.533,0.1423254556440676,0.2668602293326269,Not Significant,1.4899576852017402,1.0,Not Significant (FDR >= 0.05)
CLOCK,CRY1,17,139,83,1055,1.555,0.637,0.147834126537775,0.2729245413005077,Not Significant,1.9947471657967355,0.9863013698630138,Not Significant (FDR >= 0.05)
RORA,RORB,20,109,131,1034,1.448,0.534,0.1501617397871001,0.2730213450674548,Not Significant,0.9314889851427508,1.0,Not Significant (FDR >= 0.05)
CSNK1D,NPAS2,14,61,153,1066,1.599,0.677,0.1527786675691465,0.2736334344522027,Not Significant,1.4971740839166074,1.0,Not Significant (FDR >= 0.05)
NR1D2,RORC,14,86,116,1078,1.513,0.597,0.1675052141563633,0.2955974367465235,Not Significant,0.0,1.0,Not Significant (FDR >= 0.05)
NPAS2,NR1D1,15,152,68,1059,1.537,0.62,0.1732561804311238,0.2976468215200433,Not Significant,1.5727391874180865,1.0,Not Significant (FDR >= 0.05)
ARNTL,TIMELESS,23,82,196,993,1.421,0.507,0.1736273125533586,0.2976468215200433,Not Significant,1.490979573579842,1.0,Not Significant (FDR >= 0.05)
CRY1,PER1,19,81,165,1029,1.463,0.549,0.1780851950115631,0.3009890619913744,Not Significant,1.081938834391229,1.0,Not Significant (FDR >= 0.05)
CSNK1D,PER3,15,60,177,1042,1.472,0.558,0.1843235733908335,0.3072059556513892,Not Significant,1.0949005009169792,1.0,Not Significant (FDR >= 0.05)
CSNK1E,PER1,17,72,167,1038,1.468,0.553,0.2062485633573579,0.332506712827448,Not Significant,1.3874757191749143,1.0,Not Significant (FDR >= 0.05)
PER2,RORB,26,151,125,992,1.366,0.45,0.2065581415389016,0.332506712827448,Not Significant,0.2334485012606219,0.8099190080991902,Not Significant (FDR >= 0.05)
CRY2,NPAS2,17,81,150,1046,1.464,0.549,0.2078166955171549,0.332506712827448,Not Significant,0.8787346221441125,1.0,Not Significant (FDR >= 0.05)
