Gene_A,Gene_B,Both_Mutated_n,Gene_A_Only_n,Gene_B_Only_n,Neither_Mutated_n,Odds_Ratio,Log2_Odds_Ratio,P_Value_Fisher,Tendency,FDR_q_Value,Statistical_Significance
NPAS2,RORC,19,148,111,1016,1.175,0.233,0.5805340334375086,Co-occurrence,0.7095815788161954,Not Significant
CSNK1E,RORC,7,82,123,1082,0.751,-0.413,0.5854048025233612,Mutual Exclusivity,0.7095815788161954,Not Significant
PER1,TIMELESS,28,156,191,919,0.864,-0.212,0.5954987779044788,Mutual Exclusivity,0.7145985334853745,Not Significant
CLOCK,CSNK1E,12,144,77,1061,1.148,0.199,0.6153232769159347,Co-occurrence,0.7310771606921996,Not Significant
NR1D1,PER3,14,69,178,1033,1.177,0.236,0.631290754451638,Co-occurrence,0.7414842951266619,Not Significant
CSNK1D,TIMELESS,14,61,205,1014,1.135,0.183,0.6364406866503849,Co-occurrence,0.7414842951266619,Not Significant
CSNK1E,TIMELESS,13,76,206,999,0.83,-0.27,0.6604536868005748,Mutual Exclusivity,0.7615255795350891,Not Significant
PER2,TIMELESS,32,145,187,930,1.098,0.134,0.666334882093203,Co-occurrence,0.7615255795350891,Not Significant
CRY2,TIMELESS,18,80,201,995,1.114,0.155,0.6750613247453099,Co-occurrence,0.7642203676361998,Not Significant
NR1D1,RORA,9,74,120,1091,1.106,0.145,0.7073938907752036,Co-occurrence,0.7933389429254619,Not Significant
CLOCK,NR1D1,11,145,72,1066,1.123,0.168,0.7271432920227641,Co-occurrence,0.8079369911364046,Not Significant
NR1D1,TIMELESS,15,68,204,1007,1.089,0.123,0.762574488118323,Co-occurrence,0.8395315465522822,Not Significant
RORB,RORC,16,135,114,1029,1.07,0.097,0.7741726296859321,Co-occurrence,0.8445519596573805,Not Significant
CSNK1D,RORA,8,67,121,1098,1.084,0.116,0.8419895747276529,Co-occurrence,0.9102589997055708,Not Significant
CRY1,RORC,9,91,121,1073,0.877,-0.189,0.8627723617164068,Mutual Exclusivity,0.9236131323760675,Not Significant
CSNK1E,NPAS2,12,77,155,1050,1.056,0.078,0.8697356996541301,Co-occurrence,0.9236131323760675,Not Significant
RORA,RORC,12,117,118,1047,0.91,-0.136,0.877821390895281,Mutual Exclusivity,0.9240225167318746,Not Significant
RORB,TIMELESS,26,125,193,950,1.024,0.034,0.9082552358134848,Co-occurrence,0.9477445938923319,Not Significant
ARNTL,NR1D1,6,99,77,1112,0.875,-0.192,1.0,Mutual Exclusivity,1.0,Not Significant
NR1D1,RORB,9,74,142,1069,0.916,-0.127,1.0,Mutual Exclusivity,1.0,Not Significant
CRY2,NR1D1,6,92,77,1119,0.948,-0.077,1.0,Mutual Exclusivity,1.0,Not Significant
CRY2,RORC,10,88,120,1076,1.019,0.027,1.0,Co-occurrence,1.0,Not Significant
RORA,TIMELESS,22,107,197,968,1.01,0.015,1.0,Co-occurrence,1.0,Not Significant
